requirement_id,requirement_title,use_case_id,acceptance_test_id,other_test_ids,code_module,verification_status
FR-01,Register/modify guardian user,UC-01,PU-01;PU-02,IT-01;UT-BE-01,src/mobile-app/app/src/main/java/com/torddis/auth/,PASS
FR-02,Register/modify child data and facial enrolment,UC-02,PU-03;PU-04;PU-05,IT-02;UT-BE-02,src/mobile-app/app/src/main/java/com/torddis/child/,PASS
FR-03,Configure permitted objects,UC-03,PU-06,IT-03;UT-BE-03,src/mobile-app/app/src/main/java/com/torddis/config/,PASS
FR-04,Real-time distraction monitoring,UC-04,PU-04;PU-07,ST-01;ST-02;IT-04;IT-05,src/backend/ai-modules/,PASS
FR-05,Distraction event history,UC-05,PU-09,IT-06;UT-MB-01,src/mobile-app/app/src/main/java/com/torddis/history/,PASS
FR-06,Alarm and LED alerts,UC-06,PU-08,ST-03;IT-07;UT-FW-01,src/iot-device/esp32-cam/,PASS
FR-07,Statistical event graphs,UC-07,PU-10,IT-08;UT-MB-02,src/mobile-app/app/src/main/java/com/torddis/stats/,PASS
NFR-01,Minimalist and intuitive interface,-,-,NF-01,src/mobile-app/app/src/main/res/,PASS (SUS = 83.03; threshold 70)
NFR-02,Non-intrusive form-factor,-,-,NF-02,src/iot-device/enclosure/,MEASURED (Statement 3 mean = 3.05; requirement sets no numerical threshold)
NFR-03,Mains-powered operation,-,-,NF-03,src/iot-device/,PASS
NFR-04,End-to-end data encryption,-,PU-02,NF-04,src/backend/torddis/settings/,DEFERRED (local-only deployment; see docs/security/deployment-security-plan.md)
NFR-05,Recognition latency,-,-,NF-05;ST-04;ST-05,src/backend/ai-modules/,PASS (person = 0.639 s; drowsiness = 1.943 s)
